    name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,mh,sa,dt,mm,dm,bum,db,rpn,bu,nxn,vtrl,meth,hh,noop,pain,nmoa,moa,ubn,otp,psy,rtcc,rtca,ores,ph,omh,cmhc,msmh,ipt,cft,gt,cbt,dbt,idd,at,ect,tele,saca,trc,smon,smpd,smop,hi,res,phdt,op,rs,rl,rd,od,omb,odt,oit,ort,hid,hit,ct,gh,psyh,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,np,sf,md,mc,si,pi,mi,smha,swfs,scjj,sef,osf,clf,csbg,cmhg,vaf,fsa,cit,wi,ss,pa,ah,sp,co,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,sed,smi,alz,ptsd,tbi,tay,ped,act,icm,cm,cdm,peer,coot,dec,es,fpsy,hs,imr,ipc,lad,nrt,nsc,prs,stu,sps,semp,sh,tpc,tcc,vrs,adtx,bdtx,cdtx,mdtx,odtx,tgd,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,snr,fem,male,du,duo,acc,acm,acu,baba,ccc,cmha,csaa,daut,dp,dsf,dvfp,eih,emp,haec,heoh,hivt,isc,itu,mhs,opc,sae,shg,smhd,ssa,ssd,stdt,ta,taec,tbs,bsdm,nu,mu,bwn,bwon,ub,un,beri,pvtp,pvtn,fqhc,sumh,inpe,rpe,pc,naut,nmaut,acma,pmat,auinpe,aurpe,aupc,dlc,mhiv,mhcv,lfxd,clnd,copsu,daof,mst,noe,ofd,rc,piec,mdet,voc,hav,hbv,audo,cbhc,chlor,drope,fluph,halop,loxap,perph,pimoz,proch,thiot,thior,trifl,aripi,asena,brexp,carip,cloza,ilope,luras,olanz,olanzf,palip,queti,rispe,zipra,crt,emdr,kit,tms,peon,peoff,fg,pcf,pefp,aot,msnh,ipsy,shp,vahc,mmd,antpych,mpep,aim,fed,sotp,dea,mhc,samf,mhpa,hbt,hct,labt,tod,vapn,vapp,vppd,oudo,nx,fx,mws,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n24,n40 
VK New England Management LLC,Lawrence Medical Center/Peabody,6 Essex Center Drive,Suite 303,Peabody,MA,01960,,Essex,978-532-1730,,,,https://lawrencemedicalcenter.net/,42.5390006,-70.9503962,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,1,1,,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Walden Behavioral Care LLC,Inpatient,10 Carematrix Drive,,Dedham,MA,02026,,Norfolk,781-647-6764,Intakes,888-791-0004,781-647-6727,http://www.waldenbehavioralcare.com/,42.369549,-71.24938,MH,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,1,1,1,1,,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,1,,,1,,,1,,,,1,1,1,,1,,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,1,1,1,,1,,,1,1,,,,1,,1,1,,,1,1,1,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Boston Addiction Center,,322 Reservoir Street,,Needham Heights,MA,02494,,Norfolk,888-479-6341,,781-471-5656,,http://www.greaterbostonaddictioncenters.com,42.3069899,-71.2261072,MH,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,1,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,1,,1,,1,,1,,1,,,,1,,1,1,,,1,,,,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,1,,,1,1,1,1,1,1,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Greater Boston Addiction Center,,322 Reservoir Street,,Needham Heights,MA,02494,,Norfolk,877-926-3034,,781-471-5656,,http://www.greaterbostonaddictioncenters.com,42.3069864,-71.226113,SU,,1,,,,1,,1,1,1,1,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,,,1,,,,,1,1,1,1,,,,,,,,,,,,1,,1,,1,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,,,1,,,,1,,1,,,,,1,,,,1,1,,1,1,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,,1,1,,,1,1,,1,,1,1,1,1,1,,,1,,1,,1,,1,1,1,1,1,1,1,,1,,1,,1,,1,1,1,1,1,1,,,1,1,1,1,,,,1,1,1,1,1,,,,1,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
TILL Strattus MH Services,,20 Eastbrook Road,Suite 104,Dedham,MA,02026,,Norfolk,781-329-9365,,781-302-4649,,http://www.tillinc.org,42.2546787,-71.1665745,MH,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,,1,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Beth Israel Lahey Health,Salem Clinic,35 Congress Street,"Building 2, Suite 1",Salem,MA,01970,,Essex,978-968-1700,,,,http://www.bilhbehavioral.org,42.5181723,-70.8888723,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,1,1,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,1,,,,1,1,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Beth Israel Lahey Health,Salem Clinic,35 Congress Street,"Building 2, Suite 1",Salem,MA,01970,,Essex,978-968-1700,,,,http://www.bilhbehavioral.org,42.5181723,-70.8888723,SU,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,1,1,,,,,,1,,,,,1,,1,1,,,,,,,,,,,,1,,,,,1,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,1,,1,1,1,1,,1,,1,1,1,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,1,1,1,1,1,,1,,1,1,,,1,,,1,1,1,1,1,1,,1,,,1,,1,1,,1,,,,,,,,,,1,,1,,1,1,1,,,,,,,,,,,,,,1,,1,1,1,,1,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectrum Health Systems Inc,Waltham,210 Bear Hill Road,Suite 203,Waltham,MA,02452,,Middlesex,781-290-4970,Intakes,508-917-6792,508-282-3640,http://ww.spectrumhealthsystems.org,42.3835891,-71.2660209,SU,,1,,1,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,1,,,,,1,1,1,1,,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,1,,,1,,,,,1,1,1,1,1,1,,,,,,,,,,1,,,,,1,,1,1,,,,1,1,1,1,1,1,1,1,1,,,,,,1,,,,1,,1,,,,,1,,,,1,,,1,1,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,,,1,,1,,1,,1,1,,,1,,,1,,,1,1,1,,1,,,1,1,1,,,1,,1,,1,1,1,1,1,1,1,,,1,,,,,,,1,,1,,1,,1,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,1,1,1,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Spectrum Health Systems Inc,Waltham,210 Bear Hill Road,Suite 203,Waltham,MA,02452,,Middlesex,781-290-4970,Intakes,508-917-6792,508-282-3640,http://ww.spectrumhealthsystems.org,42.3835891,-71.2660209,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,1,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,1,,,,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles River Recovery LLC,,75 Norumbega Road,,Weston,MA,02493,,Middlesex,781-557-4832,,,,http://charlesriverrecovery.com,42.3491753,-71.2620389,SU,,1,1,1,1,1,1,1,1,1,1,1,,,,,1,,1,,,,,,,,,,,,1,,,,,1,1,1,,1,,1,1,,1,1,,1,,1,1,1,1,1,1,,,,,,,,,,1,,1,,1,,,,,,1,1,,,1,,,,,,,,,,,,,,,,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,,,1,,,,1,,1,,,,,1,,1,,1,1,,1,,,,,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,,,1,1,,1,1,,,1,1,,1,,1,1,1,1,1,,,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,1,,,1,1,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
Rockland Recovery Treatment Center,,400-A Franklin Street,Suite 202,Braintree,MA,02184,,Norfolk,855-904-3013,,,,https://www.rocklandrecovery.com/,42.2108919,-71.0191652,SU,,1,,,,,,,1,1,1,,1,,,,1,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,1,,1,1,1,,,1,1,1,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,,,,1,,1,,,,,1,,1,,1,1,,1,1,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,,1,1,,,1,1,,,,1,1,1,1,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,,,1,,1,1,1,1,,1,,,1,1,,,,,1,1,1,,,1,,,1,1,1,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
Commonwealth Behavioral Health,DBA New Harbor Behavioral Healthcare,105 Eastern Avenue,Suite 216,Dedham,MA,02026,,Norfolk,781-532-6424,,,,http://www.newharborbh.com,42.243486,-71.1725696,SU,,1,,,,1,,1,1,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,,,1,,,,,1,1,1,1,,,,,,,,,,,,1,,1,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,1,,,,1,,1,,,,,,,,,,,,1,1,,,,1,,,,,,,,1,1,1,,,,1,1,1,,,1,,1,,1,,1,1,,,1,,,1,,1,1,1,1,,,,,1,1,,,,1,1,1,,1,1,,,,,,,1,,1,,1,1,,1,,,1,,1,1,,,1,1,1,1,1,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Commonwealth Behavioral Health,DBA New Harbor Behavioral Healthcare,105 Eastern Avenue,Suite 216,Dedham,MA,02026,,Norfolk,781-532-6424,,,,http://www.newharborbh.com,42.243486,-71.1725696,MH,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,1,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,1,,1,,1,,,,1,,,,,1,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Birch Hill Behavioral Health,,1 Washington Street,Suite 109,Wellesley Hills,MA,02481,,Norfolk,617-286-5120,,,,http://www.birchhillbh.com,42.3256208,-71.2591859,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,1,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapters Recovery Center Inc,,85 Constitution Lane,Suite 200-A,Danvers,MA,01923,,Essex,978-719-1864,,844-615-0087,,http://Chaptersrecoverycenter.com,42.555348,-70.937544,SU,,1,,,,,,,1,1,1,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,,,1,,,,,1,1,1,1,,,,,,,,,,,,1,,1,,1,,,,,,1,,,1,1,1,,,,,,,,,,,,,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,,,1,,,,1,,1,,,,,1,,,,,1,,1,,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,,,1,1,1,1,,1,1,1,1,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,,,,1,1,,,,1,1,,1,,1,,,1,1,1,1,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Chapters Recovery Center Inc,,85 Constitution Lane,Suite 200-A,Danvers,MA,01923,,Essex,978-719-1864,,844-615-0087,,http://Chaptersrecoverycenter.com,42.555348,-70.937544,MH,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,1,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Meta Addiction Treatment,,55 Concord Street,,North Reading,MA,01864,,Middlesex,978-776-3206,,,,http://www.metaaddictiontreatment.com,42.5604389,-71.1239575,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Meta Addiction Treatment,,55 Concord Street,,North Reading,MA,01864,,Middlesex,978-776-3206,,,,http://www.metaaddictiontreatment.com,42.5604389,-71.1239575,SU,,1,,,,,,,1,1,,,1,,,,1,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,,,1,,,,,1,1,1,1,,,,,,,,,,,,1,,,,1,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,1,1,1,1,1,1,,,,,,1,,,,1,,1,,,,,,,,,1,1,,,,,,,1,,,,,,,,1,1,,,1,1,1,1,,1,,1,,,1,1,,1,1,,,1,,,,,1,1,1,1,,,,,1,1,,1,,1,1,1,1,1,1,,,1,1,,,1,,1,1,1,1,,1,,,1,,1,,,,1,1,,1,,1,,,,1,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Spectrum Health Systems Inc,Outpatient Methadone Clinic,- - -,,Weymouth,MA,02188,,Norfolk,781-331-0690,,508-917-6792,,http://www.spectrumhealthsystems.org,42.2076,-70.9575,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,1,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,1,1,,1,,,1,,,1,,,1,,,,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectrum Health Systems Inc,Outpatient Methadone Clinic,- - -,,Weymouth,MA,02188,,Norfolk,781-331-0690,,508-917-6792,,http://www.spectrumhealthsystems.org,42.2076,-70.9575,SU,,1,,1,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,1,,,,,1,1,1,1,,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,1,,,1,,,,,1,1,1,1,1,1,,,,,,,,,,1,,,,,1,,1,1,,,,1,,1,1,1,1,1,1,1,,,,,,1,,,,1,,,,,,,1,,,,1,,,1,1,,,,1,,,,,,,1,1,1,1,1,,,1,1,1,,,1,,,1,1,,1,1,,,1,,,1,,,1,1,1,,1,,,1,1,1,1,,1,,1,,1,1,1,1,1,1,1,,,1,,,,,,,1,,,,1,,1,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,1,1,1,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Clear Steps Recovery,Massachusetts,392 Chestnut Street,Suite 200,Needham,MA,02492,,Norfolk,781-765-0001,,,,http://www.clearstepsrecovery.com,42.2733916,-71.2377226,MH,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,1,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,1,1,,,1,1,1,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Clear Steps Recovery,Massachusetts,392 Chestnut Street,Suite 200,Needham,MA,02492,,Norfolk,781-765-0001,,,,http://www.clearstepsrecovery.com,42.2733916,-71.2377226,SU,,1,,,,1,,1,1,1,1,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,,,1,,,,,1,1,1,1,,,,,,,,,,,,1,,1,,1,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,1,,1,1,,1,1,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,,,1,1,,1,,1,1,1,1,1,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,1,1,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
Edinburg Center Inc,,205 Burlington Road,,Bedford,MA,01730,,Middlesex,781-862-3600,,,,http://www.edinburgcenter.org/,42.5018766,-71.237769,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,1,,,1,,,,1,,,1,,,1,1,1,1,,,,1,,,,,,1,,,1,1,,1,1,1,,1,,1,1,1,,,1,1,,1,,,1,1,1,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,1,,1,,,,1,,,1,,,,1,,,,,,1,,,,1,,,,,,,1,,1,,,,,,,,,,,,,1,,,1,,1,1,1,1,,,1,,,,,1,1,,1,,,1,,
Spectrum Health Systems Inc,Main Street,178 Main Street,,Weymouth,MA,02188,,Norfolk,781-331-0690,Intakes,508-282-3640,508-917-6792,http://www.spectrumhealthsystems.org,42.2015295,-70.9552729,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,,1,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectrum Health Systems Inc,Main Street,178 Main Street,,Weymouth,MA,02188,,Norfolk,781-331-0690,Intakes,508-282-3640,508-917-6792,http://www.spectrumhealthsystems.org,42.2015295,-70.9552729,SU,,1,,1,,1,,1,1,1,1,1,,,,,,,1,,,,,,,,,,,,1,,,,,1,1,1,1,,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,1,,,1,,,,,1,1,1,1,1,1,,,,,,,,,,1,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,,,,1,,,,,,,1,,,,,,,1,1,,,,1,,,,,,,1,1,1,,,,1,1,1,1,,,1,,1,,,,1,1,1,,1,1,,1,,,1,1,1,,,,,1,1,,,,1,,1,,1,1,1,,,1,1,,1,1,1,1,1,1,1,,1,,1,,,,,,,1,1,,1,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspire Health Alliance,,1501 Washington Street,,Braintree,MA,02184,,Norfolk,617-847-1950,,617-847-1914,,http://www.aspirehealthalliance.org,42.1898636,-71.0112392,MH,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,1,1,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,
Square Medical Group,,884 Washington Street,2nd Floor,East Weymouth,MA,02189,,Norfolk,617-916-5069,,,,http://www.squaremedicalgroup.org,42.2005628,-70.9409816,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,,1,1,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,1,1,1,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
